wattshouldournamebe,30,2,4/7/20 3:07 PM,886
Vibes,30,2,4/7/20 3:16 PM,888
The Pajeenors,30,9,4/7/20 3:25 PM,890
SeniorMD,30,2,4/7/20 3:34 PM,899
SingleSZN,30,2,4/7/20 3:43 PM,903
AdventureTime,30,3,4/7/20 3:52 PM,907
6 BBs in Thee Suite,30,6,4/7/20 4:01 PM,910
Individual: jth2166,30,1,4/7/20 4:10 PM,911
Individual: ew2574,30,1,4/7/20 4:14 PM,912
EC 2020,30,5,4/7/20 4:18 PM,9
Individual: clw2173,30,1,4/7/20 4:27 PM,916
Individual: amb2414,30,1,4/8/20 9:00 AM,918
Individual: jlj2173,30,1,4/8/20 9:04 AM,919
Individual: aad2187,30,1,4/8/20 9:08 AM,920
Individual: Mar2299,30,1,4/8/20 9:12 AM,922
Individual: kn2427,30,1,4/8/20 9:16 AM,924
gradient_descent,30,2,4/8/20 9:20 AM,925
Erica&Abi,30,2,4/8/20 9:29 AM,927
Individual: afa2135,30,1,4/8/20 9:38 AM,928
Haushaus,30,6,4/8/20 9:42 AM,930
Individual: sc4131,30,1,4/8/20 9:51 AM,931
wishforhogan,30,5,4/8/20 9:55 AM,932
Individual: ahs2174,30,1,4/8/20 10:04 AM,933
Individual: vwk2105,30,1,4/8/20 10:08 AM,938
EC 21!,30,6,4/8/20 10:12 AM,939
Andale,30,2,4/8/20 10:21 AM,940
Individual: aje2131,30,1,4/8/20 10:30 AM,941
Ed Smith Sucks,30,4,4/8/20 10:34 AM,942
Individual: an2817,30,1,4/8/20 10:43 AM,943
Kaystacks,30,6,4/8/20 10:47 AM,944
Tiputis,30,2,4/8/20 10:56 AM,947
Senior_Squad,30,6,4/8/20 11:05 AM,948
Individual: jj2936,30,1,4/8/20 11:14 AM,949
CapitalismBad,30,4,4/8/20 11:18 AM,952
Individual: dvt2102,30,1,4/8/20 11:27 AM,957
Mickey,30,4,4/8/20 11:31 AM,958
the lamp shop,30,5,4/8/20 11:40 AM,959
Individual: kr2752,30,1,4/8/20 11:49 AM,965
Subterra Gang,30,7,4/8/20 11:53 AM,968
Individual: ba2503,30,1,4/8/20 12:02 PM,973
daBestGroup,30,4,4/8/20 12:06 PM,975
koronets,30,2,4/8/20 12:15 PM,977
homeies,28.5714,7,4/8/20 1:24 PM,1032
basketballisfun,27.5,4,4/8/20 1:33 PM,1054
Riceball Dodgers,26,5,4/8/20 1:42 PM,1103
A lot of people,25,2,4/8/20 1:51 PM,1210
buddyolpal,25,2,4/8/20 2:00 PM,1214
lucasandyareli,25,2,4/8/20 2:09 PM,1227
AJ and Peter,25,2,4/8/20 2:18 PM,1230
Pizza passion,25,2,4/8/20 2:27 PM,1235
jrrl21,25,2,4/8/20 2:36 PM,1239
virginia slim girls,25,2,4/8/20 2:45 PM,1242
bad b****** get ec,25,2,4/8/20 2:54 PM,1243
Honey Garlic Chicken,,,,
Wings,25,2,4/8/20 3:03 PM,1263
Eggylicious,25,2,4/8/20 3:12 PM,1265
Woody,25,2,4/8/20 3:21 PM,1267
Avery and Skylar,25,2,4/8/20 3:30 PM,1270
Boufa,25,2,4/8/20 3:39 PM,1272
toni+zerui+jordan,23.3333,3,4/8/20 3:48 PM,1325
shivikalnat,23.3333,3,4/8/20 3:57 PM,1342
ripjhouse,22.8571,7,4/8/20 4:06 PM,1455
Vault and Syd,22.5,4,4/8/20 4:15 PM,1519
weareAAAA,22.5,4,4/13/20 9:00 AM,1548
Quattro Barzotti,22,5,4/13/20 9:09 AM,1612
MatAkDavDan,22,5,4/13/20 9:18 AM,1627
Fu Foundation,22,5,4/13/20 9:27 AM,1642
Housing Group 20_21,22,5,4/13/20 9:36 AM,1680
selloutsforjesus,22,5,4/13/20 9:45 AM,1692
Put Us In Watt Please,22,5,4/13/20 9:54 AM,1693
lebrons group,21.6666,6,4/13/20 10:03 AM,1726
Asians,21.6666,6,4/13/20 10:12 AM,1752
JUNIORSYEAH,21.25,8,4/13/20 10:21 AM,1801
strawberrymilktea,21.25,8,4/13/20 10:30 AM,1860
ca$ino royale,21,10,4/13/20 10:39 AM,1924
Housing1,21,10,4/13/20 10:48 AM,1934
Baseball 2020,21,10,4/13/20 10:57 AM,1938
Maddie and Emily,20,2,4/13/20 11:36 AM,2003
Individual: mhb2177,20,1,4/13/20 11:45 AM,2004
Individual: ipf2107,20,1,4/13/20 11:49 AM,2005
KBCBSDMR,20,4,4/13/20 11:53 AM,2006
Queenies,20,2,4/13/20 12:02 PM,2007
Shapiro706,20,2,4/13/20 12:11 PM,2008
Individual: jy2814,20,1,4/13/20 12:20 PM,2010
Individual: gad2144,20,1,4/13/20 12:24 PM,2017
Individual: md3713,20,1,4/13/20 12:28 PM,2018
Individual: jio2108,20,1,4/13/20 12:32 PM,2020
funhousing,20,2,4/13/20 12:36 PM,2023
ind_jan,20,2,4/13/20 12:45 PM,2027
Individual: jmc2375,20,1,4/13/20 12:54 PM,2030
Individual: jw3731,20,1,4/13/20 12:58 PM,2031
No KAP,20,3,4/13/20 1:02 PM,2032
Heckers,20,3,4/13/20 1:11 PM,2033
Individual: yc3209,20,1,4/13/20 1:20 PM,2034
Individual: mmd2232,20,1,4/13/20 1:24 PM,2035
FLAMMS,20,6,4/13/20 1:28 PM,2037
nextyearhousingms,20,2,4/13/20 1:37 PM,2038
Individual: sp3696,20,1,4/13/20 1:46 PM,2040
Individual: rab2268,20,1,4/13/20 1:50 PM,2043
minecraft gang,20,3,4/13/20 1:54 PM,2045
lifeoftheparty,20,4,4/13/20 2:03 PM,2047
Individual: ers2239,20,1,4/13/20 2:12 PM,2052
Individual: jd3519,20,1,4/13/20 2:16 PM,2054
Individual: skd2148,20,1,4/13/20 2:20 PM,2056
Leeheath,20,2,4/13/20 2:24 PM,2059
Individual: pjc2182,20,1,4/13/20 2:33 PM,2061
Individual: bs3248,20,1,4/13/20 2:37 PM,2066
JJ8Lads,20,8,4/13/20 2:41 PM,2068
Individual: smp2230,20,1,4/13/20 2:50 PM,2071
Individual: aso2126,20,1,4/13/20 2:54 PM,2076
Elyas' Group,20,9,4/13/20 2:58 PM,2080
Sally&Mei,20,2,4/13/20 3:07 PM,2081
TrackJuniors,20,8,4/13/20 3:16 PM,2084
HavingATalkBeforeHand,20,4,4/13/20 3:25 PM,2085
clarem,20,2,4/13/20 3:34 PM,2087
PleaseBigSingles,20,5,4/13/20 3:43 PM,2088
Individual: vi2146,20,1,4/13/20 3:52 PM,2089
Individual: mmz2122,20,1,4/13/20 3:56 PM,2090
Em Patrick Ava,20,5,4/13/20 4:00 PM,2091
OF2020,20,6,4/13/20 4:09 PM,2093
CUWS2022,20,7,4/13/20 4:18 PM,2094
Individual: bg2647,20,1,4/13/20 4:27 PM,2095
Individual: jg4055,20,1,4/14/20 9:00 AM,2096
Individual: ark2198,20,1,4/14/20 9:04 AM,2099
Individual: bbs2137,20,1,4/14/20 9:08 AM,2101
Individual: alg2241,20,1,4/14/20 9:12 AM,2107
Individual: jcd2219,20,1,4/14/20 9:16 AM,2108
Individual: jml2361,20,1,4/14/20 9:20 AM,2109
Individual: bv2269,20,1,4/14/20 9:24 AM,2112
BEST!,20,4,4/14/20 9:28 AM,2113
Bankstreetboys,20,2,4/14/20 9:37 AM,2115
groupname,20,4,4/14/20 9:46 AM,2118
Framonki,20,3,4/14/20 9:55 AM,2119
Individual: aeb2270,20,1,4/14/20 10:04 AM,2122
Individual: vat2123,20,1,4/14/20 10:08 AM,2125
Individual: bn2303,20,1,4/14/20 10:12 AM,2128
Individual: fa2506,20,1,4/14/20 10:16 AM,2129
Khyber and Sid,20,2,4/14/20 10:20 AM,2135
Individual: lns2143,20,1,4/14/20 10:29 AM,2136
goodNumberplz,20,4,4/14/20 10:33 AM,2137
Lions,20,6,4/14/20 10:42 AM,2138
Individual: ke2346,20,1,4/14/20 10:51 AM,2141
JJ6+Leanne,20,6,4/14/20 10:55 AM,2144
CUWBB22,20,5,4/14/20 11:04 AM,2145
Individual: cln2127,20,1,4/14/20 11:13 AM,2148
